ticker,date,compound,Interpretation
ABBV,2020-11-24,0.1806,Positive
ABBV,2020-11-25,0.3326,Positive
ABBV,2020-11-27,0.12755000000000002,Positive
ABBV,2020-11-28,0.6249,Positive
ABBV,2020-11-29,0.0,Neutral
ABBV,2020-11-30,0.4404,Positive
ABBV,2020-12-01,-0.12040000000000001,Negative
ABBV,2020-12-02,-0.051166666666666666,Negative
ABBV,2020-12-03,0.0,Neutral
ABBV,2020-12-04,0.4767,Positive
ABBV,2020-12-05,0.0,Neutral
ABBV,2020-12-06,0.25895,Positive
ABBV,2020-12-09,0.40199999999999997,Positive
ABBV,2020-12-10,0.007275000000000004,Neutral
ABBV,2020-12-11,0.1858,Positive
ABBV,2020-12-12,0.0,Neutral
ABBV,2020-12-14,0.16463333333333333,Positive
ABBV,2020-12-15,0.05103333333333334,Positive
ABBV,2020-12-16,0.17,Positive
ABBV,2020-12-17,0.2787,Positive
ABBV,2020-12-22,0.336625,Positive
ABBV,2020-12-23,0.050575,Positive
ABBV,2020-12-24,0.4215,Positive
ABBV,2020-12-25,-0.34,Negative
ABBV,2020-12-28,0.0,Neutral
ABBV,2020-12-29,0.18615,Positive
ABBV,2020-12-30,0.0,Neutral
ABBV,2020-12-31,0.2263,Positive
ABBV,2021-01-03,0.0,Neutral
ABBV,2021-01-04,0.0,Neutral
ABBV,2021-01-05,0.32947499999999996,Positive
ABBV,2021-01-06,0.09878,Positive
ABBV,2021-01-07,0.22633333333333336,Positive
ABBV,2021-01-08,0.194525,Positive
ABBV,2021-01-09,0.1468,Positive
ABBV,2021-01-11,0.34,Positive
ABBV,2021-01-12,0.085,Positive
ABBV,2021-01-13,0.14750000000000002,Positive
ABBV,2021-01-14,0.0,Neutral
ABBV,2021-01-15,0.31845,Positive
ABBV,2021-01-19,0.0,Neutral
ABBV,2021-01-20,0.18610000000000002,Positive
CAG,2020-10-05,0.0,Neutral
CAG,2020-10-06,0.0,Neutral
CAG,2020-10-07,0.0,Neutral
CAG,2020-10-12,0.31193333333333334,Positive
CAG,2020-10-13,0.1806,Positive
CAG,2020-10-15,0.0,Neutral
CAG,2020-10-20,0.0,Neutral
CAG,2020-10-21,0.3182,Positive
CAG,2020-10-25,0.3182,Positive
CAG,2020-10-26,-0.04629999999999998,Neutral
CAG,2020-10-27,-0.1027,Negative
CAG,2020-10-28,0.0,Neutral
CAG,2020-10-29,0.0129,Neutral
CAG,2020-11-02,0.31845,Positive
CAG,2020-11-09,-0.21378,Negative
CAG,2020-11-10,0.0,Neutral
CAG,2020-11-11,0.38480000000000003,Positive
CAG,2020-11-12,0.0,Neutral
CAG,2020-11-13,0.1531,Positive
CAG,2020-11-16,0.36083333333333334,Positive
CAG,2020-11-18,0.0,Neutral
CAG,2020-11-19,0.0,Neutral
CAG,2020-11-23,0.4767,Positive
CAG,2020-11-25,0.1858,Positive
CAG,2020-12-01,0.0,Neutral
CAG,2020-12-03,0.0,Neutral
CAG,2020-12-04,0.03785,Neutral
CAG,2020-12-07,0.5022500000000001,Positive
CAG,2020-12-08,0.0,Neutral
CAG,2020-12-09,0.128,Positive
CAG,2020-12-10,0.27919999999999995,Positive
CAG,2020-12-11,0.0,Neutral
CAG,2020-12-12,0.0,Neutral
CAG,2020-12-14,0.0,Neutral
CAG,2020-12-15,0.2732,Positive
CAG,2020-12-17,-0.3167,Negative
CAG,2020-12-18,0.24695,Positive
CAG,2020-12-21,0.4404,Positive
CAG,2020-12-27,0.2023,Positive
CAG,2020-12-28,0.0,Neutral
CAG,2020-12-31,0.29105000000000003,Positive
CAG,2021-01-04,0.050575,Positive
CAG,2021-01-05,0.0909,Positive
CAG,2021-01-06,0.09545,Positive
CAG,2021-01-07,0.08858000000000002,Positive
CAG,2021-01-09,0.0,Neutral
CAG,2021-01-11,-0.3243,Negative
CAG,2021-01-12,0.0,Neutral
CAG,2021-01-13,0.1779,Positive
CAG,2021-01-15,0.21075,Positive
CAG,2021-01-16,0.4939,Positive
CAG,2021-01-22,0.6369,Positive
CSCO,2020-12-07,0.0,Neutral
CSCO,2020-12-08,0.0897,Positive
CSCO,2020-12-09,0.0,Neutral
CSCO,2020-12-12,0.0,Neutral
CSCO,2020-12-13,0.6369,Positive
CSCO,2020-12-15,0.09689999999999999,Positive
CSCO,2020-12-17,0.19785,Positive
CSCO,2020-12-18,0.090925,Positive
CSCO,2020-12-19,0.6249,Positive
CSCO,2020-12-20,0.4404,Positive
CSCO,2020-12-21,0.0,Neutral
CSCO,2020-12-22,0.3021,Positive
CSCO,2020-12-23,0.14756666666666668,Positive
CSCO,2020-12-24,-0.2732,Negative
CSCO,2020-12-25,0.0,Neutral
CSCO,2020-12-27,0.33135000000000003,Positive
CSCO,2020-12-28,0.4019,Positive
CSCO,2020-12-29,0.251525,Positive
CSCO,2020-12-30,0.048066666666666674,Neutral
CSCO,2020-12-31,0.0,Neutral
CSCO,2021-01-01,0.6369,Positive
CSCO,2021-01-03,0.6369,Positive
CSCO,2021-01-04,0.5386500000000001,Positive
CSCO,2021-01-05,0.0,Neutral
CSCO,2021-01-06,0.34,Positive
CSCO,2021-01-07,0.0,Neutral
CSCO,2021-01-08,0.12833076923076922,Positive
CSCO,2021-01-09,0.6369,Positive
CSCO,2021-01-11,-0.219475,Negative
CSCO,2021-01-12,0.0,Neutral
CSCO,2021-01-13,0.1779,Positive
CSCO,2021-01-14,0.130075,Positive
CSCO,2021-01-15,-0.12040000000000001,Negative
