trans_date,ticker,qty,price,action,comm_fees,trans_amount,total_plus_comm_fees,acct_bal,pred_trend,date,Open,High,Low,Volume,Close,SMA20,RSI14,MOM5,OBV,ATR14,recom_type_ordinal,compound,pred_close,right_call?,real_trend
2000-03-29,FMC,0,5.294529662422814,hold,0.0,0.0,0.0,50000.0,down,2000-03-29,5.294529662422814,5.38498277168559,5.282469134689745,587500.0,5.348801612854004,4.954727506637573,61.68720928088815,0.23517799377441406,31092841059.0,0.1927017595929115,0.0,0.0,5.106060028076172,no,-
2000-03-30,FMC,0,5.3729248073031455,hold,0.0,0.0,0.0,50000.0,down,2000-03-30,5.3729248073031455,5.511619658345556,5.360864274768731,455600.0,5.463377952575684,4.995431518554687,64.512634665049,0.3015122413635254,31093296659.0,0.19056720858567155,0.0,0.0,5.217766761779785,no,up
2000-03-31,FMC,0,5.499559015132259,hold,0.0,0.0,0.0,50000.0,down,2000-03-31,5.499559015132259,5.547800719931264,5.439256778041556,693600.0,5.451317310333252,5.030406832695007,63.977787807034446,0.28945159912109375,31092603059.0,0.18470840382167414,0.0,0.0,5.233742713928223,yes,down
2000-04-03,FMC,0,5.451315550466208,hold,0.0,0.0,0.0,50000.0,down,2000-04-03,5.451315550466208,5.565889721513388,5.451315550466208,481000.0,5.553829193115234,5.0765378952026365,66.51862269255005,0.47638702392578125,31093084059.0,0.17969881576635313,0.0,0.0,5.299068450927734,no,up
2000-04-04,FMC,0,5.535738694577406,hold,0.0,0.0,0.0,50000.0,down,2000-04-04,5.535738694577406,5.632222502520234,5.499557531828636,888700.0,5.559859752655029,5.128096175193787,66.66757289042108,0.2532691955566406,31093972759.0,0.17633925540387066,0.0,0.0,5.316411972045898,no,up
2000-04-05,FMC,0,5.523681241083956,hold,0.0,0.0,0.0,50000.0,down,2000-04-05,5.523681241083956,5.620164670967859,5.493529904015318,1548700.0,5.505590438842773,5.170609354972839,63.912062783527034,0.15678882598876953,31092424059.0,0.17278893480020424,0.0,0.0,5.2460222244262695,yes,down
2000-04-06,FMC,0,5.523679025800243,hold,0.0,0.0,0.0,50000.0,down,2000-04-06,5.523679025800243,5.668404112583782,5.517648760804967,1048700.0,5.638253211975098,5.216439056396484,67.45343773543509,0.17487525939941406,31093472759.0,0.17207641615311883,0.0,0.0,5.345035076141357,no,up
2000-04-07,FMC,0,5.620160644768315,hold,0.0,0.0,0.0,50000.0,down,2000-04-07,5.620160644768315,5.632221170955789,5.559858438198512,729100.0,5.571918964385986,5.262871742248535,64.06792885945843,0.12060165405273438,31092743659.0,0.16538487026908072,0.0,0.0,5.323906421661377,yes,down
2000-04-10,FMC,0,5.57795040103828,hold,0.0,0.0,0.0,50000.0,down,2000-04-10,5.57795040103828,5.596040769758003,5.40307400762994,790000.0,5.457345962524414,5.30297269821167,58.597422240636334,-0.09648323059082031,31091953659.0,0.1673550054018651,0.0,0.0,5.2139573097229,yes,down
2000-04-11,FMC,0,5.499556105332393,hold,0.0,0.0,0.0,50000.0,down,2000-04-11,5.499556105332393,5.758855290570489,5.499556105332393,641900.0,5.668402194976807,5.349103736877441,64.59471831840897,0.10854244232177734,31092595559.0,0.17693745701930869,0.0,0.0,5.367434501647949,no,up
2000-04-12,FMC,0,5.692525803274884,hold,0.0,0.0,0.0,50000.0,down,2000-04-12,5.692525803274884,5.897553138359729,5.692525803274884,1236900.0,5.801069736480713,5.3855866432189945,67.75643098483788,0.29547929763793945,31093832459.0,0.18066699175956683,0.0,0.0,5.497941493988037,no,up
